On Time,Off Time,Running Duration,Off Duration
2020-12-23 16:51:34+00:00,2020-12-23 16:58:36+00:00,0:07:02,0:29:53
2020-12-23 17:28:29+00:00,2020-12-23 17:35:54+00:00,0:07:25,0:29:59
2020-12-23 18:05:53+00:00,2020-12-23 18:13:03+00:00,0:07:10,0:29:23
2020-12-23 18:42:26+00:00,2020-12-23 18:49:40+00:00,0:07:14,0:30:00
2020-12-23 19:19:40+00:00,2020-12-23 19:26:33+00:00,0:06:53,0:30:10
2020-12-23 19:56:43+00:00,2020-12-23 20:06:28+00:00,0:09:45,0:16:40
2020-12-23 20:23:08+00:00,2020-12-23 20:31:19+00:00,0:08:11,0:17:44
2020-12-23 20:49:03+00:00,2020-12-23 20:56:29+00:00,0:07:26,0:18:39
2020-12-23 21:15:08+00:00,2020-12-23 21:22:24+00:00,0:07:16,0:19:58
2020-12-23 21:42:22+00:00,2020-12-23 21:49:21+00:00,0:06:59,0:20:46
2020-12-23 22:10:07+00:00,2020-12-23 22:17:04+00:00,0:06:57,0:20:57
2020-12-23 22:38:01+00:00,2020-12-23 22:45:08+00:00,0:07:07,0:21:46
2020-12-23 23:06:54+00:00,2020-12-23 23:14:27+00:00,0:07:33,0:22:24
2020-12-23 23:36:51+00:00,2020-12-23 23:44:07+00:00,0:07:16,0:23:30
2020-12-24 00:07:37+00:00,2020-12-24 00:14:59+00:00,0:07:22,0:23:38
2020-12-24 00:38:37+00:00,2020-12-24 00:45:36+00:00,0:06:59,0:23:31
2020-12-24 01:09:07+00:00,2020-12-24 01:16:02+00:00,0:06:55,0:23:06
2020-12-24 01:39:08+00:00,2020-12-24 01:46:26+00:00,0:07:18,0:23:00
2020-12-24 02:09:26+00:00,2020-12-24 02:16:24+00:00,0:06:58,0:23:42
2020-12-24 02:40:06+00:00,2020-12-24 02:46:59+00:00,0:06:53,0:23:54
2020-12-24 03:10:53+00:00,2020-12-24 03:18:11+00:00,0:07:18,0:23:38
2020-12-24 03:41:49+00:00,2020-12-24 03:48:26+00:00,0:06:37,0:23:26
2020-12-24 04:11:52+00:00,2020-12-24 04:18:43+00:00,0:06:51,0:23:56
2020-12-24 04:42:39+00:00,2020-12-24 04:49:47+00:00,0:07:08,0:24:25
2020-12-24 05:14:12+00:00,2020-12-24 05:21:09+00:00,0:06:57,0:24:57
2020-12-24 05:46:06+00:00,2020-12-24 05:52:50+00:00,0:06:44,0:25:25
2020-12-24 06:18:15+00:00,2020-12-24 06:24:56+00:00,0:06:41,0:25:46
2020-12-24 06:50:42+00:00,2020-12-24 06:57:31+00:00,0:06:49,0:26:26
2020-12-24 07:23:57+00:00,2020-12-24 07:30:44+00:00,0:06:47,0:26:28
2020-12-24 07:57:12+00:00,2020-12-24 08:03:58+00:00,0:06:46,0:25:56
2020-12-24 08:29:54+00:00,2020-12-24 08:36:28+00:00,0:06:34,0:26:35
2020-12-24 09:03:03+00:00,2020-12-24 09:09:40+00:00,0:06:37,0:25:35
2020-12-24 09:35:15+00:00,2020-12-24 09:42:00+00:00,0:06:45,0:25:34
2020-12-24 10:07:34+00:00,2020-12-24 10:14:20+00:00,0:06:46,0:25:42
2020-12-24 10:40:02+00:00,2020-12-24 10:46:42+00:00,0:06:40,0:26:12
2020-12-24 11:12:54+00:00,2020-12-24 11:19:47+00:00,0:06:53,0:23:29
2020-12-24 11:43:16+00:00,2020-12-24 11:50:12+00:00,0:06:56,0:25:59
2020-12-24 12:16:11+00:00,2020-12-24 12:22:55+00:00,0:06:44,0:24:28
2020-12-24 12:47:23+00:00,2020-12-24 12:54:03+00:00,0:06:40,0:26:17
2020-12-24 13:20:20+00:00,2020-12-24 13:27:30+00:00,0:07:10,0:25:59
2020-12-24 13:53:29+00:00,2020-12-24 14:00:11+00:00,0:06:42,0:26:10
2020-12-24 14:26:21+00:00,2020-12-24 14:32:54+00:00,0:06:33,0:25:30
2020-12-24 14:58:24+00:00,2020-12-24 15:05:12+00:00,0:06:48,0:25:32
2020-12-24 15:30:44+00:00,2020-12-24 15:37:42+00:00,0:06:58,0:25:41
2020-12-24 16:03:23+00:00,2020-12-24 16:09:53+00:00,0:06:30,0:26:26
2020-12-24 16:36:19+00:00,2020-12-24 16:42:53+00:00,0:06:34,0:26:55
2020-12-24 17:09:48+00:00,2020-12-24 17:16:51+00:00,0:07:03,0:25:44
2020-12-24 17:42:35+00:00,2020-12-24 17:49:48+00:00,0:07:13,0:27:27
2020-12-24 18:17:15+00:00,2020-12-24 18:24:35+00:00,0:07:20,0:27:43
2020-12-24 18:52:18+00:00,2020-12-24 18:59:15+00:00,0:06:57,0:28:07
2020-12-24 19:27:22+00:00,2020-12-24 19:34:04+00:00,0:06:42,0:28:37
2020-12-24 20:02:41+00:00,2020-12-24 20:09:38+00:00,0:06:57,0:28:36
2020-12-24 20:38:14+00:00,2020-12-24 20:45:06+00:00,0:06:52,0:28:55
2020-12-24 21:14:01+00:00,2020-12-24 21:20:33+00:00,0:06:32,0:28:24
2020-12-24 21:48:57+00:00,2020-12-24 21:55:29+00:00,0:06:32,0:28:05
2020-12-24 22:23:34+00:00,2020-12-24 22:30:04+00:00,0:06:30,0:28:15
2020-12-24 22:58:19+00:00,2020-12-24 23:05:01+00:00,0:06:42,0:28:37
2020-12-24 23:33:38+00:00,2020-12-24 23:40:37+00:00,0:06:59,0:28:34
2020-12-25 00:09:11+00:00,2020-12-25 00:16:18+00:00,0:07:07,0:29:18
2020-12-25 00:45:36+00:00,2020-12-25 00:52:54+00:00,0:07:18,0:29:33
2020-12-25 01:22:27+00:00,2020-12-25 01:29:15+00:00,0:06:48,0:30:13
2020-12-25 01:59:28+00:00,2020-12-25 02:06:28+00:00,0:07:00,0:30:44
2020-12-25 02:37:12+00:00,2020-12-25 02:44:36+00:00,0:07:24,0:31:00
2020-12-25 03:15:36+00:00,2020-12-25 03:22:53+00:00,0:07:17,0:30:48
2020-12-25 03:53:41+00:00,2020-12-25 04:00:30+00:00,0:06:49,0:30:55
2020-12-25 04:31:25+00:00,2020-12-25 04:38:11+00:00,0:06:46,0:31:15
2020-12-25 05:09:26+00:00,2020-12-25 05:16:14+00:00,0:06:48,0:31:26
2020-12-25 05:47:40+00:00,2020-12-25 05:54:44+00:00,0:07:04,0:31:27
2020-12-25 06:26:11+00:00,2020-12-25 06:33:21+00:00,0:07:10,0:31:11
2020-12-25 07:04:32+00:00,2020-12-25 07:11:11+00:00,0:06:39,0:30:48
2020-12-25 07:41:59+00:00,2020-12-25 07:49:23+00:00,0:07:24,0:30:41
2020-12-25 08:20:04+00:00,2020-12-25 08:26:55+00:00,0:06:51,0:31:15
2020-12-25 08:58:10+00:00,2020-12-25 09:05:12+00:00,0:07:02,0:30:51
2020-12-25 09:36:03+00:00,2020-12-25 09:42:55+00:00,0:06:52,0:32:10
2020-12-25 10:15:05+00:00,2020-12-25 10:22:02+00:00,0:06:57,0:31:18
2020-12-25 10:53:20+00:00,2020-12-25 11:00:18+00:00,0:06:58,0:31:46
2020-12-25 11:32:04+00:00,2020-12-25 11:38:34+00:00,0:06:30,0:30:46
2020-12-25 12:09:20+00:00,2020-12-25 12:16:04+00:00,0:06:44,0:31:24
2020-12-25 12:47:28+00:00,2020-12-25 12:53:55+00:00,0:06:27,0:31:08
2020-12-25 13:25:03+00:00,2020-12-25 13:31:53+00:00,0:06:50,0:30:38
2020-12-25 14:02:31+00:00,2020-12-25 14:09:23+00:00,0:06:52,0:31:56
2020-12-25 14:41:19+00:00,2020-12-25 14:48:46+00:00,0:07:27,0:32:14
2020-12-25 15:21:00+00:00,2020-12-25 15:27:49+00:00,0:06:49,0:31:56
2020-12-25 15:59:45+00:00,2020-12-25 16:07:00+00:00,0:07:15,0:29:25
2020-12-25 16:36:25+00:00,2020-12-25 16:43:09+00:00,0:06:44,0:31:04
2020-12-25 17:14:13+00:00,2020-12-25 17:20:54+00:00,0:06:41,0:31:24
2020-12-25 17:52:18+00:00,2020-12-25 17:59:19+00:00,0:07:01,0:31:22
2020-12-25 18:30:41+00:00,2020-12-25 18:37:24+00:00,0:06:43,0:31:43
2020-12-25 19:09:07+00:00,2020-12-25 19:15:45+00:00,0:06:38,0:31:55
2020-12-25 19:47:40+00:00,2020-12-25 19:54:29+00:00,0:06:49,0:32:52
2020-12-25 20:27:21+00:00,2020-12-25 20:34:30+00:00,0:07:09,0:32:03
2020-12-25 21:06:33+00:00,2020-12-25 21:13:41+00:00,0:07:08,0:32:08
2020-12-25 21:45:49+00:00,2020-12-25 21:53:02+00:00,0:07:13,0:32:48
2020-12-25 22:25:50+00:00,2020-12-25 22:32:27+00:00,0:06:37,0:32:23
2020-12-25 23:04:50+00:00,2020-12-25 23:11:33+00:00,0:06:43,0:32:39
2020-12-25 23:44:12+00:00,2020-12-25 23:50:58+00:00,0:06:46,0:32:39
2020-12-26 00:23:37+00:00,2020-12-26 00:30:42+00:00,0:07:05,0:33:38
2020-12-26 01:04:20+00:00,2020-12-26 01:11:37+00:00,0:07:17,0:34:05
2020-12-26 01:45:42+00:00,2020-12-26 01:52:38+00:00,0:06:56,0:33:56
2020-12-26 02:26:34+00:00,2020-12-26 02:33:36+00:00,0:07:02,0:34:27
2020-12-26 03:08:03+00:00,2020-12-26 03:15:03+00:00,0:07:00,0:34:59
2020-12-26 03:50:02+00:00,2020-12-26 03:56:59+00:00,0:06:57,0:35:12
2020-12-26 04:32:11+00:00,2020-12-26 04:39:22+00:00,0:07:11,0:35:22
2020-12-26 05:14:44+00:00,2020-12-26 05:22:00+00:00,0:07:16,0:35:41
2020-12-26 05:57:41+00:00,2020-12-26 06:05:44+00:00,0:08:03,0:35:52
2020-12-26 06:41:36+00:00,2020-12-26 06:48:49+00:00,0:07:13,0:35:49
2020-12-26 07:24:38+00:00,2020-12-26 07:31:58+00:00,0:07:20,0:36:26
2020-12-26 08:08:24+00:00,2020-12-26 08:15:48+00:00,0:07:24,0:34:59
2020-12-26 08:50:47+00:00,2020-12-26 08:58:12+00:00,0:07:25,0:34:34
2020-12-26 09:32:46+00:00,2020-12-26 09:39:40+00:00,0:06:54,0:35:24
2020-12-26 10:15:04+00:00,2020-12-26 10:22:14+00:00,0:07:10,0:33:47
2020-12-26 10:56:01+00:00,2020-12-26 11:02:36+00:00,0:06:35,0:33:56
2020-12-26 11:36:32+00:00,2020-12-26 11:43:53+00:00,0:07:21,0:35:35
2020-12-26 12:19:28+00:00,2020-12-26 12:26:48+00:00,0:07:20,0:35:20
2020-12-26 13:02:08+00:00,2020-12-26 13:09:03+00:00,0:06:55,0:36:02
2020-12-26 13:45:05+00:00,2020-12-26 13:52:29+00:00,0:07:24,0:35:46
2020-12-26 14:28:15+00:00,2020-12-26 14:35:34+00:00,0:07:19,0:35:30
2020-12-26 15:11:04+00:00,2020-12-26 15:18:07+00:00,0:07:03,0:34:54
2020-12-26 15:53:01+00:00,2020-12-26 16:00:33+00:00,0:07:32,0:35:19
2020-12-26 16:35:52+00:00,2020-12-26 16:42:46+00:00,0:06:54,0:35:59
2020-12-26 17:18:45+00:00,2020-12-26 17:26:41+00:00,0:07:56,0:36:14
2020-12-26 18:02:55+00:00,2020-12-26 18:09:49+00:00,0:06:54,0:36:17
2020-12-26 18:46:06+00:00,2020-12-26 18:53:35+00:00,0:07:29,0:35:03
2020-12-26 19:28:38+00:00,2020-12-26 19:35:54+00:00,0:07:16,0:35:45
2020-12-26 20:11:39+00:00,2020-12-26 20:19:00+00:00,0:07:21,0:35:27
2020-12-26 20:54:27+00:00,2020-12-26 21:01:03+00:00,0:06:36,0:35:39
2020-12-26 21:36:42+00:00,2020-12-26 21:44:05+00:00,0:07:23,0:36:25
2020-12-26 22:20:30+00:00,2020-12-26 22:27:44+00:00,0:07:14,0:36:45
2020-12-26 23:04:29+00:00,2020-12-26 23:12:09+00:00,0:07:40,0:36:32
2020-12-26 23:48:41+00:00,2020-12-26 23:55:32+00:00,0:06:51,0:37:19
2020-12-27 00:32:51+00:00,2020-12-27 00:40:21+00:00,0:07:30,0:37:38
2020-12-27 01:17:59+00:00,2020-12-27 01:25:30+00:00,0:07:31,0:37:41
2020-12-27 02:03:11+00:00,2020-12-27 02:10:45+00:00,0:07:34,0:37:04
2020-12-27 02:47:49+00:00,2020-12-27 02:54:48+00:00,0:06:59,0:37:31
2020-12-27 03:32:19+00:00,2020-12-27 03:40:08+00:00,0:07:49,0:37:26
2020-12-27 04:17:34+00:00,2020-12-27 04:24:42+00:00,0:07:08,0:38:25
2020-12-27 05:03:07+00:00,2020-12-27 05:10:10+00:00,0:07:03,0:37:45
2020-12-27 05:47:55+00:00,2020-12-27 05:55:24+00:00,0:07:29,0:37:41
2020-12-27 06:33:05+00:00,2020-12-27 06:40:14+00:00,0:07:09,0:37:53
2020-12-27 07:18:07+00:00,2020-12-27 07:25:14+00:00,0:07:07,0:37:54
2020-12-27 08:03:08+00:00,2020-12-27 08:10:16+00:00,0:07:08,0:36:59
2020-12-27 08:47:15+00:00,2020-12-27 08:54:22+00:00,0:07:07,0:37:10
2020-12-27 09:31:32+00:00,2020-12-27 09:38:12+00:00,0:06:40,0:37:48
2020-12-27 10:16:00+00:00,2020-12-27 10:23:00+00:00,0:07:00,0:38:29
2020-12-27 11:01:29+00:00,2020-12-27 11:09:09+00:00,0:07:40,0:39:13
2020-12-27 11:48:22+00:00,2020-12-27 11:55:14+00:00,0:06:52,0:38:59
2020-12-27 12:34:13+00:00,2020-12-27 12:41:19+00:00,0:07:06,0:39:06
2020-12-27 13:20:25+00:00,2020-12-27 13:27:32+00:00,0:07:07,0:39:40
2020-12-27 14:07:12+00:00,2020-12-27 14:14:31+00:00,0:07:19,0:38:55
2020-12-27 14:53:26+00:00,2020-12-27 15:00:40+00:00,0:07:14,0:39:15
2020-12-27 15:39:55+00:00,2020-12-27 15:46:51+00:00,0:06:56,0:38:06
2020-12-27 16:24:57+00:00,2020-12-27 16:32:06+00:00,0:07:09,0:37:52
2020-12-27 17:09:58+00:00,2020-12-27 17:17:04+00:00,0:07:06,0:37:35
2020-12-27 17:54:39+00:00,2020-12-27 18:01:43+00:00,0:07:04,0:36:52
2020-12-27 18:38:35+00:00,2020-12-27 18:46:14+00:00,0:07:39,0:37:15
2020-12-27 19:23:29+00:00,2020-12-27 19:30:19+00:00,0:06:50,0:37:42
2020-12-27 20:08:01+00:00,2020-12-27 20:15:49+00:00,0:07:48,0:39:21
2020-12-27 20:55:10+00:00,2020-12-27 21:02:15+00:00,0:07:05,0:37:27
2020-12-27 21:39:42+00:00,2020-12-27 21:46:35+00:00,0:06:53,0:37:18
2020-12-27 22:23:53+00:00,2020-12-27 22:30:55+00:00,0:07:02,0:37:42
2020-12-27 23:08:37+00:00,2020-12-27 23:15:57+00:00,0:07:20,0:37:10
2020-12-27 23:53:07+00:00,2020-12-27 23:59:57+00:00,0:06:50,0:37:31
2020-12-28 00:37:28+00:00,2020-12-28 00:44:34+00:00,0:07:06,0:38:31
2020-12-28 01:23:05+00:00,2020-12-28 01:30:47+00:00,0:07:42,0:38:11
2020-12-28 02:08:58+00:00,2020-12-28 02:15:59+00:00,0:07:01,0:38:35
2020-12-28 02:54:34+00:00,2020-12-28 03:02:33+00:00,0:07:59,0:38:27
2020-12-28 03:41:00+00:00,2020-12-28 03:47:59+00:00,0:06:59,0:37:38
2020-12-28 04:25:37+00:00,2020-12-28 04:32:23+00:00,0:06:46,0:37:32
2020-12-28 05:09:55+00:00,2020-12-28 05:16:58+00:00,0:07:03,0:37:27
2020-12-28 05:54:25+00:00,2020-12-28 06:01:51+00:00,0:07:26,0:37:24
2020-12-28 06:39:15+00:00,2020-12-28 06:46:25+00:00,0:07:10,0:32:51
2020-12-28 07:19:16+00:00,2020-12-28 07:26:32+00:00,0:07:16,0:35:35
2020-12-28 08:02:07+00:00,2020-12-28 08:09:33+00:00,0:07:26,0:38:18
2020-12-28 08:47:51+00:00,2020-12-28 08:54:45+00:00,0:06:54,0:38:00
2020-12-28 09:32:45+00:00,2020-12-28 09:40:02+00:00,0:07:17,0:37:46
2020-12-28 10:17:48+00:00,2020-12-28 10:25:17+00:00,0:07:29,0:38:27
2020-12-28 11:03:44+00:00,2020-12-28 11:10:49+00:00,0:07:05,0:32:53
2020-12-28 11:43:42+00:00,2020-12-28 11:51:00+00:00,0:07:18,0:35:21
2020-12-28 12:26:21+00:00,2020-12-28 12:33:17+00:00,0:06:56,0:35:59
2020-12-28 13:09:16+00:00,2020-12-28 13:16:07+00:00,0:06:51,0:35:37
2020-12-28 13:51:44+00:00,2020-12-28 13:58:30+00:00,0:06:46,0:35:37
2020-12-28 14:34:07+00:00,2020-12-28 14:41:01+00:00,0:06:54,0:34:58
2020-12-28 15:15:59+00:00,2020-12-28 15:22:46+00:00,0:06:47,0:35:07
2020-12-28 15:57:53+00:00,2020-12-28 16:04:55+00:00,0:07:02,0:32:32
2020-12-28 16:37:27+00:00,2020-12-28 16:44:28+00:00,0:07:01,0:26:26
2020-12-28 17:10:54+00:00,2020-12-28 17:17:32+00:00,0:06:38,0:31:31
2020-12-28 17:49:03+00:00,2020-12-28 17:56:18+00:00,0:07:15,0:34:15
2020-12-28 18:30:33+00:00,2020-12-28 18:37:34+00:00,0:07:01,0:31:40
2020-12-28 19:09:14+00:00,2020-12-28 19:16:43+00:00,0:07:29,0:33:32
2020-12-28 19:50:15+00:00,2020-12-28 19:57:12+00:00,0:06:57,0:35:22
2020-12-28 20:32:34+00:00,2020-12-28 20:39:22+00:00,0:06:48,0:35:10
2020-12-28 21:14:32+00:00,2020-12-28 21:21:06+00:00,0:06:34,0:35:29
2020-12-28 21:56:35+00:00,2020-12-28 22:04:26+00:00,0:07:51,0:35:51
2020-12-28 22:40:17+00:00,2020-12-28 22:47:09+00:00,0:06:52,0:36:08
2020-12-28 23:23:17+00:00,2020-12-28 23:30:34+00:00,0:07:17,0:36:02
2020-12-29 00:06:36+00:00,2020-12-29 00:13:47+00:00,0:07:11,0:36:15
2020-12-29 00:50:02+00:00,2020-12-29 00:56:48+00:00,0:06:46,0:36:56
2020-12-29 01:33:44+00:00,2020-12-29 01:40:45+00:00,0:07:01,0:37:34
2020-12-29 02:18:19+00:00,2020-12-29 02:25:45+00:00,0:07:26,0:36:46
2020-12-29 03:02:31+00:00,2020-12-29 03:09:34+00:00,0:07:03,0:37:44
2020-12-29 03:47:18+00:00,2020-12-29 03:54:13+00:00,0:06:55,0:37:50
2020-12-29 04:32:03+00:00,2020-12-29 04:38:50+00:00,0:06:47,0:37:16
2020-12-29 05:16:06+00:00,2020-12-29 05:23:15+00:00,0:07:09,0:37:19
2020-12-29 06:00:34+00:00,2020-12-29 06:07:36+00:00,0:07:02,0:36:43
2020-12-29 06:44:19+00:00,2020-12-29 06:51:20+00:00,0:07:01,0:34:22
2020-12-29 07:25:42+00:00,2020-12-29 07:32:35+00:00,0:06:53,0:36:21
2020-12-29 08:08:56+00:00,2020-12-29 08:16:11+00:00,0:07:15,0:34:43
2020-12-29 08:50:54+00:00,2020-12-29 08:58:04+00:00,0:07:10,0:35:48
2020-12-29 09:33:52+00:00,2020-12-29 09:41:38+00:00,0:07:46,0:36:33
2020-12-29 10:18:11+00:00,2020-12-29 10:25:36+00:00,0:07:25,0:36:46
2020-12-29 11:02:22+00:00,2020-12-29 11:09:13+00:00,0:06:51,0:35:23
2020-12-29 11:44:36+00:00,2020-12-29 11:51:43+00:00,0:07:07,0:35:28
2020-12-29 12:27:11+00:00,2020-12-29 12:34:00+00:00,0:06:49,0:35:58
2020-12-29 13:09:58+00:00,2020-12-29 13:17:06+00:00,0:07:08,0:34:57
2020-12-29 13:52:03+00:00,2020-12-29 13:58:46+00:00,0:06:43,0:34:28
2020-12-29 14:33:14+00:00,2020-12-29 14:40:01+00:00,0:06:47,0:33:57
2020-12-29 15:13:58+00:00,2020-12-29 15:20:46+00:00,0:06:48,0:34:40
2020-12-29 15:55:26+00:00,2020-12-29 16:02:10+00:00,0:06:44,0:34:15
2020-12-29 16:36:25+00:00,2020-12-29 16:43:12+00:00,0:06:47,0:34:15
2020-12-29 17:17:27+00:00,2020-12-29 17:24:10+00:00,0:06:43,0:34:58
2020-12-29 17:59:08+00:00,2020-12-29 18:05:58+00:00,0:06:50,0:35:08
2020-12-29 18:41:06+00:00,2020-12-29 18:47:56+00:00,0:06:50,0:34:16
2020-12-29 19:22:12+00:00,2020-12-29 19:29:22+00:00,0:07:10,0:33:27
2020-12-29 20:02:49+00:00,2020-12-29 20:09:36+00:00,0:06:47,0:33:18
2020-12-29 20:42:54+00:00,2020-12-29 20:49:37+00:00,0:06:43,0:31:54
2020-12-29 21:21:31+00:00,2020-12-29 21:28:29+00:00,0:06:58,0:34:01
2020-12-29 22:02:30+00:00,2020-12-29 22:09:23+00:00,0:06:53,0:33:19
2020-12-29 22:42:42+00:00,2020-12-29 22:49:55+00:00,0:07:13,0:33:31
2020-12-29 23:23:26+00:00,2020-12-29 23:30:24+00:00,0:06:58,0:33:10
2020-12-30 00:03:34+00:00,2020-12-30 00:10:35+00:00,0:07:01,0:34:12
2020-12-30 00:44:47+00:00,2020-12-30 00:51:31+00:00,0:06:44,0:34:14
2020-12-30 01:25:45+00:00,2020-12-30 01:32:25+00:00,0:06:40,0:33:48
2020-12-30 02:06:13+00:00,2020-12-30 02:13:20+00:00,0:07:07,0:34:52
2020-12-30 02:48:12+00:00,2020-12-30 02:55:03+00:00,0:06:51,0:34:50
2020-12-30 03:29:53+00:00,2020-12-30 03:37:22+00:00,0:07:29,0:35:03
2020-12-30 04:12:25+00:00,2020-12-30 04:19:09+00:00,0:06:44,0:34:37
2020-12-30 04:53:46+00:00,2020-12-30 05:00:38+00:00,0:06:52,0:35:31
2020-12-30 05:36:09+00:00,2020-12-30 05:43:27+00:00,0:07:18,0:34:57
2020-12-30 06:18:24+00:00,2020-12-30 06:25:30+00:00,0:07:06,0:34:43
